* `displayName` (`id`): `description` (`name`, `displayQuality`, `quality`, `priceEach`, `maxStackCount`)
* 躯壳 (0): 灵魂的载体。 (Character, 0, 999, 0, 1)
* 切肉刀 (1): 看起来很粗犷的刀，不是很锋利。 (0_MeleeWeapon_Template, 0, 9, 17501, 1)
* 三级防弹衣 (2): 三级防弹衣，在某些时候能够保住你的小命。 (ArmorLV3, 0, 3, 1775, 1)
* 金色五角星 (3): 神秘物质构成的金色五角星。增加近战武器攻击力。 (Gem, 0, 4, 4587, 1)
* GunTemplate (4): ? (1_Rifle-A_template, 0, 9, 37500, 1)
* R6电池 (8): 在各种用电器中被广泛使用的电池。 (BatteryR6, 0, 1, 194, 5)
* 止血绷带 (10): 可以止血,并回复微少生命值。 (Bandage, 0, 1, 80, 3)
* PP3电池 (11): 通常用于烟雾探测器、遥控玩具发射器以及作为闹钟的后备电池。 (BatteryPP3, 0, 2, 323, 3)
* 焗豆罐头 (12): 焗豆罐头。 (BeanCan, 0, 2, 102, 3)
* 苏打饼干 (13): 一摞苏打饼干。 (Biscuit, 0, 1, 51, 3)
* 可乐 (14): 有糖的可乐才有灵魂。 (Cola, 0, 4, 1995, 1)
* 大急救箱 (15): 可以恢复大量生命值。 (FirstAidKit_L, 0, 4, 1322, 1)
* 急救箱 (16): 可以恢复生命值。 (FirstAidKit_M, 0, 3, 807, 1)
* 小急救箱 (17): 可以恢复少量生命值。 (FirstAidKit_S, 0, 2, 206, 1)
* 水浸金枪鱼罐头 (18): 水浸金枪鱼罐头。 (TunaCan_1, 0, 2, 172, 3)
* 油浸金枪鱼罐头 (19): 油浸金枪鱼罐头。 (TunaCan_2, 0, 3, 376, 3)
* 阿司匹林 (20): 小剂量药品，回复血量，并提供镇痛效果。 (Aspirin, 0, 1, 32, 3)
* 漂白剂 (21): 一壶漂白剂。 (Bleach, 0, 1, 139, 1)
* 红条香烟 (22): 一盒普通的香烟。 (Cigarette, 0, 2, 105, 3)
* 管状炸弹 (23): 一颗管状炸弹。 (Dynamite, 0, 1, 140, 1)
* 集束管状炸弹 (24): 一束管状炸弹。 (DynamiteMultiple, 0, 5, 302, 1)
* 手电 (25): 一只手电筒。 (Flashlight, 0, 3, 560, 1)
* 防毒面具 (26): 普通的防毒面具。 (GasMask_01, 0, 3, 535, 1)
* 滑雪镜 (27): 滑雪眼镜。 (Goggle, 0, 1, 125, 1)
* 钉子 (28): 钉子。 (Nail, 0, 1, 149, 10)
* 伏特加 (29): 喝了会开心,然后脱水。 (Vodka, 0, 3, 902, 1)
* MD40 (30): 一瓶MD40除锈剂。 (WD40, 0, 3, 216, 1)
* 扳手 (31): 一个扳手。 (Wrench, 0, 2, 257, 1)
* 一级防弹衣 (32): 比纸还薄，能挡一发水弹枪。 (ArmorLV1, 0, 1, 285, 1)
* 二级防弹衣 (33): 看起来很专业，能够提供心理层面的鼓励。 (ArmorLV2, 0, 2, 784, 1)
* 四级防弹衣 (34): 有真正的防弹性能，可靠之选。 (ArmorLV4, 0, 4, 3316, 1)
* 五级防弹衣 (35): 提供终极的防护，子弹打在身上就像洒洒水。 (ArmorLV5, 0, 5, 5827, 1)
* 装饰包 (36): 也就能装点口红化妆品啥的。 (BackpackLV1, 0, 1, 87, 1)
* 小学背包 (37): 能装很多的作业本。 (BackpackLV2, 0, 2, 338, 1)
* 旅行包 (38): 多功能用途背包，旅行首选。 (BackpackLV3, 0, 3, 995, 1)
* 生存者背包 (39): 杀哥联名，户外生存必备。 (BackpackLV4, 0, 4, 2385, 1)
* 行军背包MAX (40): 使用蓝胖子口袋内衬同款材料，非常能装。 (BackpackLV5, 0, 5, 4706, 1)
* 摩托头盔 (41): 晶莹剔透，吹弹可破。 (HelmatLV1, 0, 1, 97, 1)
* 老钢盔 (42): 没怎么保养的头盔，爷爷传下来的。里面有个洞。 (HelmatLV2, 0, 2, 378, 1)
* 特警头盔 (43): 具有初级的防弹性能。 (HelmatLV3, 0, 3, 1183, 1)
* SightPRO头盔 (44): 具有AR+VR功能，飞过来的子弹可能会眩晕从而打偏。 (HelmatLV4, 0, 4, 2551, 1)
* SCIFI面罩 (45): 给予头部全方位的防护，科幻造型，非常的拉风。 (HelmatLV5, 0, 5, 4855, 1)
* 神之电焊头 (46): 古希腊掌管头盔的神打造，子弹看了会吓软。 (HelmatLV6, 0, 6, 8778, 1)
* 汽车扳手 (47): 更好用的扳手。 (Wrench02, 0, 4, 1062, 1)
* 大扩容箱 (48): 大型扩容箱，可用作扩展藏身处。重到拿不动。 (ContinerL, 0, 5, 8578, 1)
* 中扩容箱 (49): 中型扩容箱，可用作扩展藏身处。很重。 (ContinerM, 0, 4, 4713, 1)
* 小扩容箱 (50): 小型扩容箱，可用作扩展藏身处。 (ContinerS, 0, 3, 2484, 1)
* 闹钟 (51): 定格在了三点钟。 (Clock, 0, 2, 667, 1)
* 洁厕灵 (52): 一瓶洁厕灵。 (Detergent, 0, 1, 102, 1)
* 红色大桶 (53): 一个大空桶。 (Drum1, 0, 3, 1277, 1)
* 蓝色大桶 (54): 一个大空桶。 (Drum2, 0, 3, 1276, 1)
* 黄色大桶 (55): 一个大空桶。 (Drum3, 0, 3, 1238, 1)
* 金属油桶 (56): 一个大空桶，装过汽油。 (Drum4, 0, 4, 3578, 1)
* 高尔夫球棒 (57): 打人疼。 (GolfClub, 0, 4, 2270, 1)
* 墨水 (58): 钢笔墨水。 (Ink, 0, 2, 269, 1)
* 锅 (59): 可以用来煮食物。 (Pot, 0, 2, 465, 1)
* 卷纸 (60): 一卷卫生纸。 (Tissue, 0, 1, 55, 1)
* Cippo (61): Cippo打火机。 (Zippo, 0, 1, 242, 1)
* 压力传感器 (62): 踩上去就能感应到。 (PressionSencer, 0, 4, 541, 1)
* uPhone手机 (63): 已经坏掉了，从外观上看不出是第几代产品。 (uPhone, 0, 4, 1867, 1)
* 对讲机 (64): 普通的对讲机。 (Walkie_Talkie, 0, 3, 377, 1)
* 军用对讲机 (65): 经过加密的军用对讲机。 (Walkie_Talkie02, 0, 4, 2312, 1)
* 闪光手雷 (66): 眩晕敌人。 (FlashGrenade, 0, 2, 205, 1)
* 手雷 (67): 手雷。 (Grenade, 0, 2, 300, 1)
* 巧克力 (68): 有人说它能减肥。 (Chocalate, 0, 3, 433, 3)
* 能量棒 (69): 吃了就不饿了，但是会渴。 (EnergyStick, 0, 3, 371, 3)
* 蜂蜜 (70): 很甜很甜。 (Honey, 0, 3, 320, 3)
* 番茄酱 (71): 酸酸甜甜的番茄酱。不好吃。 (Ketchup, 0, 2, 127, 3)
* 书 (72): 胡扯的书。 (Book, 0, 1, 449, 1)
* 信件 (73): 一封信件。 (Letter, 0, 1, 242, 1)
* 安全屋隔间钥匙 (74): 能够打开仓库区中安全屋隔间的钥匙。 (Key_BlueHouse, 0, 3, 101, 1)
* 飞机模型 (75): 航空公司售卖的飞机模型，做工劣质。 (AirplaneToy, 0, 1, 998, 1)
* 足球 (76): 气不太够的足球。 (Ball, 0, 1, 845, 1)
* 自行车模型 (77): 精致的自行车模型。 (BicyleToy, 0, 2, 1432, 1)
* 大炮 (78): 玩具大炮。 (Cannon, 0, 1, 1045, 1)
* 指南针 (79): 精致的指南针。 (Compass, 0, 3, 3070, 1)
* 骰子 (80): 一个外表十分正常的骰子，但是感觉有点偏坠。 (Dice 2, 0, 2, 1570, 1)
* 骰子 (81): 一个正常的骰子。 (Dice, 0, 2, 1195, 1)
* 玩具鱼 (82): 浓浓的塑料味。 (Fish, 0, 1, 895, 1)
